номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
1;SW_1018;11000;11,000;11000 = 11000 мм;ok;локальная модель, без API
2;UA_0001;45439;45,439;1000 + 3850 + 1700 + 80 + 500 + 850 + 1188 + 3250 + 3316 + 890 + 165 + 2650 + 26000 = 45439 мм;ok;локальная модель, без API
3;UA_0001;31158;31,158;150 + 4350 + 2000 + 500 + 3000 + 4350 + 7450 + 1188 + 2450 + 1349 + 3316 + 890 + 165 = 31158 мм;ok;"локальная модель, без API; авто: D7 внутри участка, D7 вернул полный участок"
4;UA_0001;49086;49,086;15050 + 3500 + 7300 + 1000 + 4350 + 1026 + 1000 + 230 + 1500 + 6000 + 7880 + 150 + 100 = 49086 мм;ok;"локальная модель, без API; авто: D10 внутри участка, D10 вернул участок"
5;UA_0001;7299;7,299;750 + 249 + 1407 + 350 + 233 + 650 + 303 + 2848 + 191 + 140 + 178 = 7299 мм;ok;"локальная модель, без API; авто: D7 штурвал, D14 штурвал"
6;UA_0001;14366;14,366;303 + 300 + 50 + 2495 + 200 + 50 + 2310 + 450 + 100 + 253 + 300 + 197 + 688 + 2014 + 400 + 3403 + 553 + 300 = 14366 мм;ok;локальная модель, без API
7;UA_0001;21659;21,659;155 + 191 + 298 + 350 + 300 + 179 + 191 + 275 + 2750 + 520 + 10300 + 2000 + 4150 = 21659 мм;ok;"локальная модель, без API; авто: D3 штурвал, D15 габарит Н.О., D15 полный размер"
8;UA_0001;46323;46,323;2100 + 7550 + 1188 + 2450 + 1349 + 3316 + 665 + 890 + 165 + 5500 + 14650 + 1000 + 2850 + 2650 = 46323 мм;ok;"локальная модель, без API; авто: D13 внутри участка, D13 вернул участок"
9;UA_0001;31809;31,809;150 + 2700 + 1000 + 8450 + 1188 + 2300 + 3316 + 890 + 165 + 5650 + 6000 = 31809 мм;ok;локальная модель, без API
10;UA_0001;48975;48,975;13915 + 3735 + 6185 + 1188 + 1700 + 1900 + 1200 + 400 + 366 + 2116 + 665 + 890 + 165 + 14550 = 48975 мм;ok;"локальная модель, без API; авто: D3 габарит Н.О., D3 полный размер"
;итого;307114;307,114;;;
