номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
1;LI_0001;16504;16,504;225 + 415 + 705 + 248 + 1405 + 280 + 270 + 465 + 285 + 1000 + 243 + 3728 + 6950 + 285 = 16504 мм;ok;"локальная модель, без API; авто: D9 штурвал"
2;LI_0001;20136;20,136;300 + 217 + 2493 + 200 + 217 + 50 + 2323 + 185 + 480 + 890 + 350 + 210 + 217 + 1926 + 4670 + 400 + 3401 + 430 + 810 + 350 + 17 = 20136 мм;ok;локальная модель, без API
3;LI_0001;20249;20,249;217 + 201 + 350 + 217 + 250 + 750 + 3600 + 3925 + 218 + 3004 + 3000 + 150 + 350 + 217 + 3800 = 20249 мм;ok;"локальная модель, без API; авто: D1 штурвал, D18 габарит Н.О., D18 полный размер, D16 опора в D18"
4;LI_0001;33380;33,380;4270 + 1214 + 2200 + 3316 + 890 + 165 + 14550 + 2600 + 4175 = 33380 мм;ok;локальная модель, без API
5;LI_0001;26259;26,259;225 + 2600 + 4250 + 8750 + 1214 + 1450 + 2050 + 1349 + 3316 + 890 + 165 = 26259 мм;ok;локальная модель, без API
6;LI_0001;39276;39,276;3650 + 6200 + 3850 + 2550 + 900 + 300 + 2950 + 1176 + 3350 + 5820 + 8530 = 39276 мм;ok;"локальная модель, без API; авто: D4 внутри участка, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3"
7;LI_0001;8275;8,275;38 + 1450 + 1650 + 1200 + 400 + 366 + 2116 + 890 + 165 = 8275 мм;ok;локальная модель, без API
8;P15_1045;32016;32,016;207 + 224 + 123 + 707 + 700 + 100 + 10500 + 1050 + 75 + 150 + 18180 = 32016 мм;ok;"локальная модель, без API; авто: D19 габарит Н.О., D19 полный размер"
9;P15_1045;59670;59,670;120 + 4000 + 2000 + 6700 + 1700 + 4000 + 41150 = 59670 мм;ok;локальная модель, без API
10;P21_1017;20818;20,818;250 + 234 + 2400 + 950 + 2100 + 9000 + 450 + 4050 + 1384 = 20818 мм;ok;локальная модель, без API
;итого;276583;276,583;;;
